captainName,rank,nationality,company,Image
J. de Haan,LtZ 2,Dutch,MAR,
Christopher Parker,Captain,British,RN,
H.A. Jaccomettie,,Dutch,MER,
Thomas DOrves,Cdt.,French,,
Leverson Gower,Captain,British,RN,
Simon Laurentius,Schipper,Dutch,VOC,
J. Schut,Kapitein,Dutch,,
Robert Mends,Captain,British,RN,
J. Valkenburg,kapitein-luitenant,Dutch,MAR,
Enslie,Ltz,Dutch,MAR,
Willem Landsaat,Gezagvoerder,Dutch,,
J.A. van den Velden,Commandant eskader,Dutch,ADM,
Thomas Rigg,Captain,British,RN,
JOSEPH DE SOMAGLIA,BRIGADIER DE MARINA,Spanish,,
M. De Medine,Cdt.,French,,
Nathaniel Bateman,Captain,British,RN,
Charles Phipps,Captain,British,RN,
W.J. Jolly,Kapitein,Dutch,MAR,
William Truscott,Captain,British,RN,
K.J. Jonker,Kapitein,Dutch,Marine,
Charles Adams,Captain,British,RN,
M. Du Breil de Retz,Cdt.,French,,
Patrick Fothringham,Captain,British,RN,
Robert Watson,Captain,British,RN,
Sir John Hamilton ,Captain,British,RN,
Josia Rowley,Captain,British,RN,assets/img/JosiasRowley.jpg
James Cook,Captain,British,RN,assets/img/James_Cook.jpg
Alexander Scott,Captain,British,RN,assets/img/Alexander_Scott.jpg
FRANCISCO ANTONIO MOURELLE,ALFEREZ DE FRAGATA,Spanish,,"assets/img/Mourelle,jpg.jpg"
Robert Keeler,Captain,British,RN,
Edward Clarke (dismissed Jan 1,Captain,British,RN,
Captain Innes,Captain,British,RN,
L.J. Friese,LtZ,Dutch,MAR,
ANTONIO ALBORNOZ,CAPITAN,Spanish,,
J.H.F. Frucht,Ltz 1e kl,Dutch,ADM,
W.J. van Ees,KLtZ,Dutch,MAR,
Edward Buller,Captain,British,RN,assets/img/Sir_Edward_Buller.jpg
Henry Kent,Captain,British,EIC,
LOGORRIZ,CAPITAN,Spanish,,
LUIS DE CRDOBA,CAPITAN,Spanish,,
Thomas Parker,Captain,British,EIC,
J. van der Straalen,Ktz,Dutch,MAR,
H. van Braam,,Dutch,VOC,
JACINTO CAAMAO,CAPITAN,Spanish,,
James Bower,Captain,British,RN,
Francis Reynolds,Captain,British,RN,assets/img/Francis_Reynolds.jpg
W.L. Veerman,Luitenant 2e kl.,Dutch,,
MANUEL FELIPE DE LOYGORRI (?),CAPITAN,Spanish,,
Philip Herbert,Captain,British,EIC,
Peter Clements,Captain,British,RN,
Sir Thomas Adams,Captain,British,RN,
Jos Antonio de Llanos,Capitan,Spanish,,
C. Abrahams,,Dutch,,
Charles Penrose,Captain,British,RN,assets/img/Charles_Penrose.jpg
Reiniersen,,Dutch,,
Adriaan Chatelain,Kapitein,Dutch,MCC,
Charles Brisbane,Captain,British,RN,assets/img/Sir_Charles_Brisbane.jpg
