captainName,rank,nationality,company,Image
William Hunt,Captain,British,EIC,
EXCMO. SR. DON JUAN BAUTISTA B,ALMIRANTE,Spanish,,
Jacob Rijzik van den Briel,Kapitein,Dutch,VOC,
Peregrine Berlie,Captain,British,RN,
P. J. Kerkhoven,Kapitein,Dutch,,
F Reynolds,Captain,British,RN,
ESTEBAN JOSEPH MARTNEZ,ALF_REZ DE NAVO DE LA RE,Spanish,,
Richard Dorrill,Captain,British,RN,
D. Hofker,Kapitein,Dutch,,
Cuthbert Collingwood,Captain,British,RN,assets/img/Cuthbert_Collingwood.jpg
Samual Hall,Captain,British,RN,
L.L. Spengler,KLtZ,Dutch,,
DOMINGO GORROSARRI,PILOTO,Spanish,,
J.T. Pronk,Kapitein,Dutch,,
John Bladen Tinker,Captain,British,RN,
JUAN DEL CAMINO,CAPITAN,Spanish,,
Jos de Santalices,Capitan,Spanish,,
H. A. Jacomettie,Kapitein,Dutch,,
ANTONIO GALEANO,CAPITAN,Spanish,,
Sir William Chaloner Burnaby,Captain,British,RN,
Norton Hutchinson,Captain,British,EIC,
TORCUATO DE SILVA,CAPITAN,Spanish,,
G. den Berger,KLtZ,Dutch,ADM,
FERNANDO DE VIERA,TENIENTE DE FRAGATA,Spanish,,
De Retz,Cdt.,French,,
H.R. Mankman,Kapitein,Dutch,,
FERNANDO DE MIERA,TENIENTE DE NAVO,Spanish,,
H. Porwater,,Dutch,VOC,
ALBERTO OLONDO,CAPITAN,Spanish,,
JOSE DE JULIAN,CAPITAN,Spanish,,
David Holme,Captain,British,EIC,
James Vashon,Captain,British,RN,assets/img/Admiral_James_Vashon.jpg
I. Hensing,Kapitein,Dutch,,
De Begue,Cdt.,French,,
Manuel Fernandez Trelles,Capitan,Spanish,,
Voizard,Cdt.,French,,
James Rodney,Captain,British,RN,
M.J.B. Noordhoek Stegh,Kapitein,Dutch,,
Samuel Barrington,Captain,British,RN,assets/img/Samuel_Barrington.jog
Manuel Mndez,Capitan,Spanish,,
Charles Sawyer,Captain,British,RN,
Mateo de Urcullu,Capitan,Spanish,,
Jan Pieter Hextel,Kapitein,Dutch,MER,
Issac Smith,Captain,British,RN,
M. Du Kearney,Cdt.,French,,
John Thomas Duckworth,Captain,British,RN,
,,Dutch,MER,
George Eyre,Captain,British,RN,
M.Schaap,Kapitein,Dutch,,
Horatio Nelson,Captain,British,RN,
Francis Samual Drake,Captain,British,RN,
C Hope,Captain,British,RN,
Mullon,Cdt.,French,,
Ch.DEsnos,Cdt.,French,,
S. van Duijn,Kapitein,Dutch,,
FRANCISCO VANZES,CAPITAN,Spanish,,
La Rochelerie,Cdt.,French,,
Phillip Affleck,Captain,British,RN,
P.J. Boursse Wils,Kapitein,Dutch,,
Arthur Fanshawe,Captain,British,RN,
Charles Thompson,Captain,British,RN,
E. Brouwers,Kapitein,Dutch,,
J. Spanjaard,KLtZ,Dutch,,
James Coxwell,Captain,British,EIC,
