OriginalName,Latitude,Longitude,GeocodeMatch
Malakka,2.23,102.23,"Melaka, Malaysia"
Acapulco,16.85,-99.93,"Acapulco, Mexico"
Banjoewangie,-8.1,114.4,"Java, Indonesia"
Annabona,-1.43,5.62,Pagalu or Annobon (Island W Afr. Coast)
Fayal,38.5,-28.6,"Fayal, Azores"
Santa Cruz,28.47,-16.25,"Santa Cruz de Teneriffe, Canary Is."
Gratiosa,39.08,-28.02,Graciosa Island (Santa Cruz)
Sursogon,12.98,124.02,"Sorsogon, Luzon, Philippines"
Monterey,36.5833,-121.9167,"Monterey, California, USA"
Port Egmont,-51.7,-57.85,
St Paulo,-8.8,13.2,
Schapeneiland,-33.08,18.02,"Skaap (Schapen) Island, Saldanha bay, South Africa"
Prince of Wales Island,5.5,100.5,Pinang
St Augustine,29.88,-81.28,
Rivier Kommewijne,5.88,-55.08,Commewijne River entrance
Rio Sester,5.47,-9.53,"Rio Cess, Liberia"
Allerheiligen Baaij,-13.01666667,-38.53333333,"Bahia de Todos los Santos, Brasil"
Baaij Falso,-34.35,18.5,"Cape of Good Hope, South Africa"
Simonsbaaij,-34.35,18.5,"Cape of Good Hope, South Africa"
"St Michaels, Azores",37.73,-25.67,
Cape Henry,36.83,-76.02,"Cape Henry, Virginia (near Norfolk)"
"Cape Nicholas, San Domingo",19.8,-73.5,"Le Mole St. Nicolas, Haiti"
Fort St Francisco,-8.78,13.27,"Luanda, Angola"
Rhode Island,41.83,-71.47,
Manilla,14.58,120.98,
Mazulipatnam,15.73,80.02,
Trinidada,-20.5,-29.5,"Trinidade, I. da (Trinidad & Martin Vaz)"
Cape Mount,6.73,11.38,"Cape Mount, Liberia"
Ferrol,43.4833,-8.2333,"El Ferrol, Spain"
Axim,4.866666667,-2.25,
Porte Praay,14.92,-23.52,"Porto Praia, Cape Verdes"
St Christoffel,17.35,-62.8,
Collemoye,10.2833,79.8667,"Kodikkarai, Tamil Nadu, India"
Anjer,-6.05,105.9166667,"Anyar, Java, Indonesia"
Kema,1.3833,-125.0999,"Kema, Sulawesi, Indonesia"
Porto Prayo,14.92,-23.52,"Porto Praia, Cape Verdes"
Cape Blanco,20.77,-17.05,Cap Blanc
Meeuwebaai,-6.7,105.3,"Teluk Peutjang, Java, Indonesia"
Mountsbaai,50.085,-5.5,"Mounts Bay, Cornwall, England"
Cape St Mary,13.47,-16.67,"Banjul, Gambia"
Algoa Baai,-33.83,26,"Algoa Bay, South Africa"
Punte Gale,6.02,80.22,"Galle, Sri Lanka"
Fernando Noronha,-3.85,-32.42,
Fort St David,11.77,79.77,"Fort St David, Tamil Nadu, India"
Fort St George,13.05,80.28,"Fort St George, Tamil Nadu, India"
Funchal Road,32.633,-16.883,Funchal
Sumatra,-1,102.27,"Sumatra, Indonesia"
Nevis,17.183,-62.57,Nevis Peak
Bombay Harbour,18.93,72.85,
Talcaguana,-36.6667,-73.1667,"Talcahuano, Chile"
Christiaan Zand,58.13,8.02,"Kristiansand, Norway"
Clarence Cove,3.75,8.8,"Malabo, "
Fort Zeelandia,5.87,-55.23,"Fort Zeelandia, Paramaribo, Suriname"
Nieuwe Diep,52.97,4.77,Den Helder
Bencoolen,-3.77,102.27,"Bengkulu, Sumatra, Indonesia"
Benkulen,-3.766666667,102.27,Bengkulu
Ferdinando Loronho,-3.85,-32.42,Fernando de Noronha
Kingston,17.97,-76.8,"Kingston, Jamaica"
Duins,51.233,1.433,
Langle,47.75,142.0667,"Tomari, Sakhalin, Russia"
Muscat,23.62,58.58,
St Jacobsbaai,13.27,-59.58,"near Greenland, Barbados"
Cavite,14.5,120.92,Cavite
Ile de Paque,-27.1,-109.3333,"Easter Island, Chile"
St Catherine,-27.6363,-48.45,"Ilha de Sta Catarina, Brazil"
Suftren,47.8,139.0698,
Menado,1.53,124.92,"Manado, Celebs, Indonesia"
Banda,-4.55,129.9,"Neira, Banda, Indonesia"
Canaria,28.13,-15.45,Las Palmas de Gran Canaria
Fonciaal,32.633,-16.883,"Funchal, Madeira, Portugal"
Fontiaal,32.633,-16.883,"Funchal, Madeira, Portugal"
Porto Praijo,14.92,-23.52,"Porto Praia, Cape Verdes"
Santa Croix,28.47,-16.25,"Santa Cruz de Teneriffe, Canary Is."
St Salvador,-12.97,-38.48,"Salvador, Brazil"
Valsbaai,-34.35,18.5,"Cape of Good Hope, South Africa"
Brissel,64.8,-14,probably Breidhdalsvik
Fernando de Noronha,-3.85,-32.42,
Dellago Bay,-22.97,33,Baia de Maputo
Joanna,-12.22,44.42,Ile Anjouan
Fort St Davids Road,11.77,79.77,"Fort St David, Tamil Nadu, India"
Arika,-18.5,-70.3333,"Arica, Chile"
Charillo,-12.1667,-77.0167,"Chorrillos, Peru"
Cherillos,-12.17,-77.02,"Chorrillos, Peru"
Guyana,5.95,-57.1,Corantyn river
