seaIce,airTemp,gusts,thunder,snow,longitude,date,windSpeed,fog,locationID,rain,sst,latitude,pressure,voyageID,windDirection,hail
False,-1,False,False,False,-37.52,1788-04-06 15:00,12.3000002,False,247018,False,-1,23.9333,-1,5170,113,False
False,-1,False,False,False,-39.87,1788-04-07 15:00,-1,False,247019,False,-1,22.5333,-1,5170,135,False
False,-1,False,False,False,-42.4367,1788-04-08 15:00,9.30000019,False,247020,False,-1,20.7167,-1,5170,135,False
False,-1,False,False,False,-45.4867,1788-04-09 15:00,9.30000019,False,247021,False,-1,18.8333,-1,5170,113,False
False,-1,False,False,False,-48.4033,1788-04-10 15:00,6.69999981,False,247022,False,-1,16.3333,-1,5170,90,False
False,-1,False,False,False,-51.7533,1788-04-11 15:00,-1,False,247023,False,-1,15.3333,-1,5170,68,False
False,-1,False,False,False,-54.1533,1788-04-12 16:00,6.69999981,False,247024,False,-1,14.9667,-1,5170,113,False
False,-1,False,False,False,-56.6367,1788-04-13 16:00,6.69999981,False,247025,False,-1,14.5667,-1,5170,90,False
False,-1,False,False,False,-59.07,1788-04-14 16:00,-1,False,247026,False,-1,14.1333,-1,5170,90,False
False,-1,False,False,False,-61.3033,1788-04-15 16:00,6.69999981,False,247027,False,-1,14.0833,-1,5170,90,False
False,-1,False,False,False,-63.3033,1788-04-16 16:00,9.30000019,False,247028,False,-1,14.3333,-1,5170,68,False
False,-1,False,False,False,-62.12,1788-05-13 16:00,6.69999981,False,247029,False,-1,18.5167,-1,5171,113,False
False,-1,False,False,False,-61.9533,1788-05-14 16:00,1,False,247030,False,-1,20.2667,-1,5171,68,False
False,-1,False,False,False,-61.8867,1788-05-15 16:00,6.69999981,False,247031,False,-1,22.0333,-1,5171,68,False
False,-1,False,False,False,-61.8867,1788-05-16 16:00,4.5999999,False,247032,False,-1,23.25,-1,5171,68,False
False,-1,False,False,False,-62.17,1788-05-17 16:00,6.69999981,False,247033,False,-1,25.0,-1,5171,68,False
False,-1,False,False,False,-61.17,1788-05-18 16:00,-1,False,247034,False,-1,27.0167,-1,5171,113,False
False,-1,False,False,False,-60.5367,1788-05-19 16:00,1,False,247035,False,-1,28.0,-1,5171,113,False
False,-1,False,False,False,-59.6367,1788-05-20 16:00,4.5999999,False,247036,False,-1,28.9167,-1,5171,293,False
False,-1,False,False,False,-59.32,1788-05-21 16:00,1,False,247037,False,-1,29.0333,-1,5171,315,False
False,-1,False,False,False,-58.6867,1788-05-22 16:00,4.5999999,False,247038,False,-1,30.7,-1,5171,135,False
False,-1,False,False,False,-57.4867,1788-05-23 16:00,6.69999981,False,247039,False,-1,32.5667,-1,5171,93,False
False,-1,False,False,False,-55.2533,1788-05-24 16:00,6.69999981,False,247040,False,-1,34.2167,-1,5171,180,False
False,-1,False,False,False,-53.0033,1788-05-25 16:00,-1,False,247041,False,-1,35.3167,-1,5171,203,False
False,-1,False,False,False,-51.02,1788-05-26 15:00,4.5999999,False,247042,False,-1,36.2833,-1,5171,315,False
False,-1,False,False,False,-48.77,1788-05-27 15:00,12.3000002,False,247043,False,-1,37.7333,-1,5171,248,False
False,-1,False,False,False,-47.3533,1788-05-28 15:00,-1,False,247044,True,-1,37.5833,-1,5171,23,False
False,-1,False,False,False,-47.32,1788-05-29 15:00,1,False,247045,False,-1,38.3167,-1,5171,42,False
False,-1,False,False,False,-46.5533,1788-05-30 15:00,1,False,247046,False,-1,38.35,-1,5171,225,False
False,-1,False,False,False,-45.5033,1788-05-31 15:00,-1,False,247047,False,-1,39.3333,-1,5171,138,False
False,-1,False,False,False,-43.8533,1788-06-01 15:00,6.69999981,False,247048,False,-1,40.4,-1,5171,248,False
False,-1,False,False,False,-40.9533,1788-06-02 15:00,9.30000019,False,247049,False,-1,41.65,-1,5171,248,False
False,-1,False,False,False,-36.37,1788-06-03 14:00,9.30000019,False,247050,False,-1,43.05,-1,5171,203,False
False,-1,False,False,False,-31.9867,1788-06-04 14:00,9.30000019,False,247051,False,-1,43.9333,-1,5171,225,False
False,-1,False,False,False,-29.3533,1788-06-05 14:00,4.5999999,False,247052,False,-1,44.3167,-1,5171,203,False
False,-1,False,False,False,-26.7867,1788-06-06 14:00,6.69999981,False,247053,False,-1,44.6333,-1,5171,180,False
False,-1,False,False,False,-25.8367,1788-06-07 14:00,6.69999981,False,247054,False,-1,45.8,-1,5171,180,False
False,-1,False,False,False,-21.2367,1788-06-08 13:00,6.69999981,False,247055,False,-1,46.4167,-1,5171,180,False
False,-1,False,False,False,-19.5033,1788-06-09 13:00,4.5999999,False,247056,False,-1,46.85,-1,5171,183,False
False,-1,False,False,False,-18.3533,1788-06-10 13:00,4.5999999,False,247057,False,-1,47.8,-1,5171,158,False
False,-1,False,False,False,-17.9033,1788-06-11 13:00,6.69999981,False,247058,False,-1,49.3,-1,5171,132,False
False,-1,False,False,False,-16.7367,1788-06-12 13:00,6.69999981,False,247059,False,-1,48.7667,-1,5171,48,False
False,-1,False,False,False,-15.12,1788-06-13 13:00,4.5999999,False,247060,False,-1,48.1667,-1,5171,48,False
False,-1,False,False,False,-12.72,1788-06-14 13:00,6.69999981,False,247061,False,-1,47.85,-1,5171,45,False
False,-1,False,False,False,-9.73667,1788-06-15 13:00,6.69999981,False,247062,False,-1,47.8667,-1,5171,45,False
False,-1,False,False,False,-7.55333,1788-06-16 13:00,4.5999999,False,247063,False,-1,48.2333,-1,5171,23,False
False,-1,False,False,False,-5.50333,1788-06-17 12:00,4.5999999,False,247064,False,-1,48.2167,-1,5171,23,False
False,-1,False,False,False,-6.88667,1788-05-01 12:00,-1,False,247065,False,-1,48.1667,-1,5172,68,False
False,-1,False,False,False,-10.6033,1788-05-02 13:00,12.3000002,False,247066,False,-1,47.7667,-1,5172,68,False
False,-1,False,False,False,-14.3533,1788-05-03 13:00,-1,False,247067,False,-1,47.5,-1,5172,113,False
False,-1,False,False,False,-15.9533,1788-05-04 13:00,-1,False,247068,False,-1,47.05,-1,5172,113,False
False,-1,False,False,False,-17.6367,1788-05-05 13:00,1,False,247069,False,-1,46.7167,-1,5172,270,False
False,-1,False,False,False,-18.5367,1788-05-06 13:00,-1,False,247070,False,-1,46.4333,-1,5172,45,False
False,-1,False,False,False,-21.0367,1788-05-07 13:00,-1,False,247071,False,-1,46.8667,-1,5172,225,False
False,-1,False,False,False,-22.3033,1788-05-08 13:00,-1,False,247072,False,-1,47.2667,-1,5172,293,False
False,-1,False,False,False,-24.2033,1788-05-09 14:00,12.3000002,False,247073,False,-1,47.5833,-1,5172,225,False
False,-1,False,False,False,-25.97,1788-05-10 14:00,12.3000002,False,247074,False,-1,48.3333,-1,5172,225,False
False,-1,False,False,False,-27.0033,1788-05-11 14:00,-1,False,247075,False,-1,49.2,-1,5172,270,False
False,-1,False,False,False,-28.1033,1788-05-12 14:00,-1,False,247076,False,-1,49.7667,-1,5172,270,False
False,-1,False,False,False,-28.6033,1788-05-13 14:00,-1,False,247077,False,-1,49.2167,-1,5172,248,False
False,-1,False,False,False,-29.42,1788-05-14 14:00,-1,False,247078,False,-1,48.4333,-1,5172,293,False
False,-1,False,False,False,-31.4533,1788-05-15 14:00,-1,False,247079,False,-1,47.7833,-1,5172,270,False
False,-1,False,False,False,-32.3533,1788-05-16 14:00,-1,False,247080,False,-1,46.7,-1,5172,135,False
